Date,Open,High,Low,Close,Adj Close,Volume
04/01/2010,4.6275,4.655,4.5275,4.6225,4.243395,80020400
05/01/2010,4.605,4.74,4.605,4.69,4.30536,72864800
06/01/2010,4.6875,4.73,4.6425,4.72,4.332899,64916800
07/01/2010,4.695,4.715,4.5925,4.6275,4.247985,54779200
08/01/2010,4.59,4.67,4.5625,4.6375,4.257165,47816800
11/01/2010,4.6625,4.6825,4.5075,4.5725,4.197496,55661200
12/01/2010,4.505,4.5225,4.3225,4.4175,4.055208,62743200
13/01/2010,4.4475,4.4925,4.275,4.4775,4.110287,50886800
14/01/2010,4.4225,4.455,4.3325,4.4075,4.046029,60852400
15/01/2010,4.375,4.4125,4.22,4.2775,3.92669,81819200
19/01/2010,4.245,4.385,4.2325,4.3575,4.000128,54532800
20/01/2010,4.3025,4.3575,4.245,4.34,3.984064,71972800
21/01/2010,4.3375,4.415,4.2225,4.2625,3.912921,60863200
22/01/2010,4.2125,4.29,4.09,4.115,3.777517,106791600
25/01/2010,4.1825,4.265,4.1525,4.185,3.841776,64367600
26/01/2010,4.165,4.1925,4.05,4.0525,3.720142,71463600
27/01/2010,4.05,4.1775,4.005,4.1625,3.821121,81250400
28/01/2010,4.195,4.21,3.965,4.0225,3.692602,68776400
29/01/2010,4.0675,4.1125,3.7875,3.8475,3.531955,77470000
01/02/2010,3.8625,4.15,3.83,4.1425,3.802761,94983200
02/02/2010,4.1275,4.2375,4.115,4.185,3.841776,84981200
03/02/2010,4.1475,4.2375,4.1275,4.22,3.873905,56229600
04/02/2010,4.1825,4.1825,3.93,3.975,3.648998,78348000
05/02/2010,3.97,4.065,3.9,4.055,3.722437,60485600
08/02/2010,4.0425,4.145,3.9675,4.0475,3.715553,44516000
09/02/2010,4.1125,4.1325,3.975,4.015,3.685718,93014400
10/02/2010,4.04,4.13,4.0125,4.0925,3.756863,53582800
11/02/2010,4.1575,4.325,4.1275,4.28,3.928985,69598000
12/02/2010,4.25,4.425,4.2025,4.3375,3.981769,78021200
16/02/2010,4.395,4.435,4.3425,4.4175,4.055208,45702400
17/02/2010,4.4725,4.475,4.3325,4.46,4.094223,87656000
18/02/2010,4.215,4.2375,4.0525,4.1675,3.82571,151550800
19/02/2010,4.15,4.195,4.125,4.145,3.805056,51054800
22/02/2010,4.1625,4.225,4.125,4.1525,3.811942,45808400
23/02/2010,4.165,4.1825,4.01,4.0525,3.720142,48976400
24/02/2010,4.0875,4.1775,4.075,4.1375,3.798171,44586800
25/02/2010,4.0425,4.11,3.94,4.1,3.763747,57697200
26/02/2010,4.08,4.11,4.025,4.05,3.717848,39339600
